customer_id,segment,owning_team,company_size_employees,practice_area,arr_usd,tenure_months,weekly_active_users,manage_utilization_score,bills_per_month,payments_enabled,gpv_last_6mo_usd,time_to_adoption_days,estimated_billing_vol_6mo_usd,payments_penetration_rate,self_serve_attempt_incomplete,declined_competitor_contract,nps_score,health_score,gtm_touches_last_90_days,attended_payments_webinar
CUST-00001,Velocity,AM,3,Litigation,504,11,4,62,2,No,0.0,,900.0,0.0,No,No,7,Yellow,2,No
CUST-00002,MM,CSM,14,Employment Law,13508,9,8,31,38,No,0.0,,237030.28,0.0,No,No,-31,Red,4,No
CUST-00003,Strat,AM,55,Litigation,41585,16,29,67,120,Yes,2989557.92,46.0,3417905.48,0.875,No,No,45,Green,1,Yes
CUST-00004,Strat,AM,34,Employment Law,16261,9,21,61,52,Yes,206758.38,33.0,451822.61,0.458,No,No,8,Yellow,8,No
CUST-00005,Velocity,AM,6,Estate Planning,1016,18,2,73,24,Yes,10572.71,142.0,14836.77,0.713,No,No,14,Yellow,3,No
CUST-00006,Velocity,AM,14,Family Law,1913,22,7,69,9,Yes,4278.24,27.0,10127.1,0.422,No,No,32,Yellow,4,Yes
CUST-00007,Velocity,AM,3,Intellectual Property,1124,31,3,75,29,Yes,10358.77,60.0,13050.0,0.794,No,No,53,Green,2,No
CUST-00008,MM,CSM,17,Intellectual Property,8040,37,8,100,105,Yes,178266.88,41.0,502489.99,0.355,No,No,3,Yellow,2,No
CUST-00009,Strat,AM,79,Real Estate Law,36407,13,42,72,19,No,0.0,,496036.83,0.0,No,Yes,-18,Yellow,3,No
CUST-00010,Strat,AM,26,Litigation,92943,25,10,73,475,Yes,22464866.28,37.0,31714180.61,0.708,No,No,60,Green,3,No
CUST-00011,Velocity,AM,5,Estate Planning,2092,25,1,86,46,Yes,15863.86,25.0,26805.8,0.592,No,No,33,Yellow,4,Yes
CUST-00012,MM,CSM,13,Estate Planning,10544,22,5,93,19,Yes,40013.33,84.0,68741.91,0.582,No,No,42,Green,4,No
CUST-00013,MM,CSM,21,Estate Planning,3826,13,11,62,21,Yes,8795.58,68.0,29901.69,0.294,No,No,11,Red,4,No
CUST-00014,Velocity,AM,13,Estate Planning,2645,9,6,46,2,No,0.0,,1141.9,0.0,No,No,59,Green,4,Yes
CUST-00015,Velocity,AM,4,Litigation,901,25,5,92,114,Yes,41704.89,14.0,51300.0,0.813,No,No,53,Green,3,No
CUST-00016,Velocity,AM,5,Criminal Defense,1539,5,1,35,0,No,0.0,,0.0,0.0,No,No,13,Yellow,0,No
CUST-00017,Velocity,AM,5,Criminal Defense,1613,15,4,46,92,Yes,27884.42,50.0,41400.0,0.674,No,No,33,Yellow,2,No
CUST-00018,Strat,AM,54,Litigation,72839,3,30,50,11,No,0.0,,632622.03,0.0,No,Yes,80,Green,2,No
CUST-00019,Velocity,AM,6,Real Estate Law,923,7,4,42,4,No,0.0,,1800.0,0.0,No,No,8,Red,2,No
CUST-00020,Velocity,AM,9,Estate Planning,3097,10,6,49,11,No,0.0,,9293.42,0.0,No,No,16,Yellow,2,No
CUST-00021,Strat,AM,268,Criminal Defense,17713,37,144,94,78,Yes,383268.41,14.0,591392.08,0.648,No,No,44,Yellow,5,Yes
CUST-00022,Velocity,AM,5,Litigation,580,28,2,79,26,Yes,9039.29,24.0,11700.0,0.773,No,No,37,Green,1,Yes
CUST-00023,Velocity,AM,6,Real Estate Law,1156,12,2,73,4,No,0.0,,1800.0,0.0,No,No,30,Yellow,1,No
CUST-00024,Velocity,AM,12,Corporate Law,1044,29,4,100,15,No,0.0,,6750.0,0.0,No,No,34,Green,0,No
CUST-00025,Velocity,AM,2,Estate Planning,1197,32,1,100,22,Yes,6624.96,89.0,9900.0,0.669,No,No,61,Green,3,No
CUST-00026,Strat,AM,20,Immigration,49667,16,13,76,34,Yes,763489.79,84.0,1302864.65,0.586,No,No,27,Yellow,4,No
CUST-00027,Velocity,AM,1,Criminal Defense,1499,7,1,53,1,No,0.0,,450.0,0.0,No,No,-27,Red,5,No
CUST-00028,Strat,AM,20,Litigation,27552,15,10,44,43,Yes,313216.28,26.0,508640.44,0.616,No,No,3,Yellow,7,No
CUST-00029,Strat,AM,108,Real Estate Law,40068,17,57,63,83,Yes,1336536.38,28.0,2039311.55,0.655,No,No,76,Green,3,No
CUST-00030,Velocity,AM,3,Intellectual Property,1459,8,1,75,2,Yes,818.77,87.0,900.0,0.91,No,No,30,Green,3,No
CUST-00031,Strat,AM,40,Litigation,42614,23,21,71,124,Yes,3865888.43,19.0,4825849.58,0.801,No,No,25,Green,7,Yes
CUST-00032,Velocity,AM,2,Personal Injury,1932,21,1,90,47,Yes,16872.95,24.0,39797.75,0.424,No,No,24,Yellow,2,No
CUST-00033,Velocity,AM,1,Criminal Defense,1114,24,1,78,14,Yes,3195.22,58.0,6300.0,0.507,No,No,49,Green,4,Yes
